18:45:10.603 [main] INFO  dorogokupets.arraytask.service.impl.ArrayExecuteServiceImpl - Min value = 6
18:45:10.619 [main] INFO  dorogokupets.arraytask.service.impl.ArrayExecuteServiceImpl - Max value = 67
18:45:10.627 [main] INFO  dorogokupets.arraytask.service.impl.ArrayExecuteServiceImpl - Average of the array = 25.125
18:45:10.634 [main] INFO  dorogokupets.arraytask.service.impl.ArrayExecuteServiceImpl - Sum array numbers = 201
22:51:37.774 [main] INFO  dorogokupets.arraytask.service.impl.ArraySortServiceImpl - Select sorting of the array is successful[6, 9, 11, 13, 22, 29, 44, 67]
22:53:27.377 [main] INFO  dorogokupets.arraytask.service.impl.ArraySortServiceImpl - Select sorting of the array is successful[6, 9, 11, 13, 22, 29, 44, 67]
18:50:26.754 [main] INFO  dorogokupets.arraytask.service.impl.ArrayExecuteServiceImpl - Max value = 67
18:51:11.542 [main] INFO  dorogokupets.arraytask.service.impl.ArraySortServiceImpl - Bubble sorting of the array is successful[6, 9, 11, 13, 22, 29, 44, 67]
21:49:33.703 [main] INFO  dorogokupets.arraytask.service.impl.ArrayExecuteServiceImpl - Count positive numbers = 8
21:49:33.719 [main] INFO  dorogokupets.arraytask.service.impl.ArrayExecuteServiceImpl - Count negative numbers = 0
21:49:33.735 [main] INFO  dorogokupets.arraytask.service.impl.ArrayExecuteServiceImpl - Min value = 6
21:49:33.735 [main] INFO  dorogokupets.arraytask.service.impl.ArrayExecuteServiceImpl - Max value = 67
21:49:33.735 [main] INFO  dorogokupets.arraytask.service.impl.ArrayExecuteServiceImpl - Average of the array = 25.125
21:49:33.750 [main] INFO  dorogokupets.arraytask.service.impl.ArrayExecuteServiceImpl - Sum array numbers = 201
21:49:33.766 [main] INFO  dorogokupets.arraytask.service.impl.ArraySortServiceImpl - Bubble sorting of the array is successful[6, 9, 11, 13, 22, 29, 44, 67]
21:49:33.766 [main] INFO  dorogokupets.arraytask.service.impl.ArraySortServiceImpl - Insert sorting of the array is successful[6, 9, 11, 13, 22, 29, 44, 67]
21:49:33.766 [main] INFO  dorogokupets.arraytask.service.impl.ArraySortServiceImpl - Select sorting of the array is successful[6, 9, 11, 13, 22, 29, 44, 67]
22:19:24.529 [main] INFO  dorogokupets.arraytask.service.impl.ArrayExecuteServiceImpl - Count positive numbers = 8
22:19:24.547 [main] INFO  dorogokupets.arraytask.service.impl.ArrayExecuteServiceImpl - Count negative numbers = 0
22:19:24.547 [main] INFO  dorogokupets.arraytask.service.impl.ArrayExecuteServiceImpl - Min value = 6
22:19:24.563 [main] INFO  dorogokupets.arraytask.service.impl.ArrayExecuteServiceImpl - Max value = 67
22:19:24.563 [main] INFO  dorogokupets.arraytask.service.impl.ArrayExecuteServiceImpl - Average of the array = 25.125
22:19:24.563 [main] INFO  dorogokupets.arraytask.service.impl.ArrayExecuteServiceImpl - Sum array numbers = 201
22:19:24.578 [main] INFO  dorogokupets.arraytask.service.impl.ArraySortServiceImpl - Bubble sorting of the array is successful[6, 9, 11, 13, 22, 29, 44, 67]
22:19:24.594 [main] INFO  dorogokupets.arraytask.service.impl.ArraySortServiceImpl - Insert sorting of the array is successful[6, 9, 11, 13, 22, 29, 44, 67]
22:19:24.594 [main] INFO  dorogokupets.arraytask.service.impl.ArraySortServiceImpl - Select sorting of the array is successful[6, 9, 11, 13, 22, 29, 44, 67]
22:22:38.246 [main] INFO  dorogokupets.arraytask.service.impl.ArrayExecuteServiceImpl - Count positive numbers = 8
22:22:38.271 [main] INFO  dorogokupets.arraytask.service.impl.ArrayExecuteServiceImpl - Count negative numbers = 0
22:22:38.275 [main] INFO  dorogokupets.arraytask.service.impl.ArrayExecuteServiceImpl - Min value = 6
22:22:38.279 [main] INFO  dorogokupets.arraytask.service.impl.ArrayExecuteServiceImpl - Max value = 67
22:22:38.285 [main] INFO  dorogokupets.arraytask.service.impl.ArrayExecuteServiceImpl - Average of the array = 25.125
22:22:38.290 [main] INFO  dorogokupets.arraytask.service.impl.ArrayExecuteServiceImpl - Sum array numbers = 201
22:22:38.308 [main] INFO  dorogokupets.arraytask.service.impl.ArraySortServiceImpl - Bubble sorting of the array is successful[6, 9, 11, 13, 22, 29, 44, 67]
22:22:38.313 [main] INFO  dorogokupets.arraytask.service.impl.ArraySortServiceImpl - Insert sorting of the array is successful[6, 9, 11, 13, 22, 29, 44, 67]
22:22:38.317 [main] INFO  dorogokupets.arraytask.service.impl.ArraySortServiceImpl - Select sorting of the array is successful[6, 9, 11, 13, 22, 29, 44, 67]
22:26:24.377 [main] INFO  dorogokupets.arraytask.service.impl.ArrayExecuteServiceImpl - Count positive numbers = 8
22:26:24.402 [main] INFO  dorogokupets.arraytask.service.impl.ArrayExecuteServiceImpl - Count negative numbers = 0
22:26:24.407 [main] INFO  dorogokupets.arraytask.service.impl.ArrayExecuteServiceImpl - Min value = 6
22:26:24.410 [main] INFO  dorogokupets.arraytask.service.impl.ArrayExecuteServiceImpl - Max value = 67
22:26:24.415 [main] INFO  dorogokupets.arraytask.service.impl.ArrayExecuteServiceImpl - Average of the array = 25.125
22:26:24.418 [main] INFO  dorogokupets.arraytask.service.impl.ArrayExecuteServiceImpl - Sum array numbers = 201
22:26:24.433 [main] INFO  dorogokupets.arraytask.service.impl.ArraySortServiceImpl - Bubble sorting of the array is successful[6, 9, 11, 13, 22, 29, 44, 67]
22:26:24.438 [main] INFO  dorogokupets.arraytask.service.impl.ArraySortServiceImpl - Insert sorting of the array is successful[6, 9, 11, 13, 22, 29, 44, 67]
22:26:24.441 [main] INFO  dorogokupets.arraytask.service.impl.ArraySortServiceImpl - Select sorting of the array is successful[6, 9, 11, 13, 22, 29, 44, 67]
22:26:42.862 [main] INFO  dorogokupets.arraytask.service.impl.ArrayExecuteServiceImpl - Count positive numbers = 8
